52WeekLow;52WeekHigh;ShortRatio;ShortPercent;PriceToEarningsRatio;PriceToBookRatio;ShareYield;50DayMovingAverage;200DayMovingAverage;OperativeMarge;BETA;EmployeeCount
29.1989;52.97;6.23;0.9108;16.535;2.7823;0.0417;44.8997;54.5578;0.3529;0.9401;31589.0
19.5029;46.74375;3.04;0.48629999999999995;6.1794;1.4926499999999998;0.11415;38.5275;33.6372;0.3825;0.70545;86455.0
52.45853333333335;105.29957777777778;3.066111111111111;0.32985555555555557;31.861099999999997;1.3954999999999997;0.06605555555555556;87.0791888888889;80.42282777777777;0.2828611111111111;1.0158055555555556;11127.555555555555
6.2238;17.46;2.16;0.3101;144.4828;2.5115;0.041;15.3138;12.1239;0.0;0.894;0.0
21.172076470588234;54.38247647058823;3.071176470588235;0.4628705882352941;47.76714117647058;3.2365294117647063;0.020205882352941174;45.49608823529412;43.82655294117647;0.2504352941176471;0.9859176470588236;25638.70588235294
20.6124;37.1408;4.8;0.3766;51.4316;0.6895;0.0166;24.9197;23.8149;0.0186;0.7239;38000.0
10.8171;20.756120000000003;1.8359999999999999;0.60236;16.47988;2.13278;1.85606;19.120420000000003;17.17146;-0.018479999999999996;1.10192;90576.0
20.7714;53.4172;2.35;1.4357;12.6821;1.1175;0.07400000000000001;43.3412;38.4363;0.0508;1.0599;107776.0
3.124266666666667;13.418999999999999;1.7566666666666668;0.2079333333333333;5.0728;0.18333333333333335;0.06466666666666666;4.6918999999999995;5.050766666666666;0.3970666666666666;1.8493333333333333;0.0
6.5958;17.03;2.96;0.5043;29.5812;7.3188;0.019;15.7209;13.5032;0.228;0.5449;240208.0
56.00488;113.83881999999998;2.3630000000000004;0.5114500000000001;38.68852;5.26337;0.01874;104.39447;95.50156000000001;0.13356;1.1172499999999999;104616.9
2.6289;5.13;3.76;0.4615;59.5;1.5842;0.0182;4.5724;3.7559;0.0315;0.5522;11000.0
7.10458;21.6798;2.6479999999999997;0.62474;17.99148;0.64366;0.034100000000000005;18.06972;13.833360000000003;0.04364;1.5966;51214.2
5.517359999999999;27.59722;2.564;0.32458;43.25616;0.3217;0.08508000000000002;9.45712;8.86834;0.21092;1.8717999999999997;345.8
13.6406;50.256;5.4350000000000005;0.6502;9.0686;9.02455;0.0206;29.4959;25.03895;0.07164999999999999;2.16755;43400.0
7.9829;19.674;1.07;0.8895;24.2727;1.5515;0.0219;16.1262;15.2296;0.097;0.7876;21412.0
9.6105;30.25;0.72;0.3394;4.6149;1.5976;0.0536;26.0925;22.676;0.0927;0.9911;114.0
8.2119;26.7;0.7050000000000001;0.24775000000000003;31.499850000000002;2.96105;0.01255;16.26025;19.15115;0.2685;0.2162;15827.5
38.16;95.43;2.84;0.4429;51.5694;3.7858;0.0622;86.3765;75.0053;0.0847;1.8583;59423.0
51.959424999999996;97.85977500000001;2.4225000000000003;0.541675;34.888275;3.238825;0.024525000000000005;92.181025;82.435025;0.148125;0.755675;68000.0
32.44949375;67.2350375;2.546875;1.2427875000000002;51.46360625000001;2.9928250000000007;0.0502375;58.85553124999999;54.669868750000006;0.15965625000000003;1.206225;25821.5
40.9646030789826;88.7903137884872;3.9561847389558222;0.7674930388219545;106.72052597054879;5.248479384203478;0.04086907630522085;76.4470293172691;70.07277148594379;0.14302998661311916;1.245718340026772;25249.265060240963
2.8388;8.0613;0.73;0.0;70.8571;7.142;0.037000000000000005;4.6921;4.4969;-0.01;1.6325;100000.0
