Corporation;52WeekLow;52WeekHigh;ShortRatio;ShortPercent;PriceToEarningsRatio;PriceToBookRatio;ShareYield;50DayMovingAverage;200DayMovingAverage;Country;OperativeMarge;BETA;EmployeeCount
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AXISCapitalHoldingsLimited;30.8832;64.2123;2.79;0.0;12.3743;0.9536;0.0321;49.1841;44.6786;Bermuda;0.0057;0.8357;1667
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheJ.M.SmuckerCompany;89.7893;122.7617;6.94;0.3678;14.9586;1.5555;0.0311;116.2785;113.2461;United States;0.1778;0.2614;7300
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#RalphLaurenCorporation;59.82;123.2331;1.96;0.3819;37.983000000000004;2.9723;0.034;93.4097;77.1339;United States;0.0355;1.4441;13700
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#OwensCorning;28.3496;78.99;1.4;0.2274;10.0027;2.2029;0.0137;74.385;67.3462;United States;0.1143;1.5312;18000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#RestaurantBrandsInternationalInc;24.4127;64.7407;4.59;0.9286;33.1399;7.8745;0.034;60.0638;56.8861;Canada;0.3358;1.1827;6300
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#BGStaffing,Inc;5.5827;21.3922;2.87;2.7778;70.2604;2.1590000000000003;0.0389;12.7465;10.3601;United States;0.0437;2.4598;430
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#MyersIndustries,Inc;6.733;20.87;3.77;0.6207;18.8566;3.8689999999999998;0.026000000000000002;18.3621;15.6042;United States;0.0972;1.4934;1640
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#StanleyBlack&Decker,Inc;69.062;190.7859;3.11;0.3532;28.8605;3.2489;0.0157;180.9426;163.8723;United States;0.1197;1.4824;59438
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#CedarFair,L.P;13.0;55.321000000000005;6.6;0.0;39.2754;0.0;0.1676;38.1529;30.5956;United States;-0.8218;2.2399;2600
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#RexfordIndustrialRealty,Inc;31.1631;52.765;1.82;0.6615;85.5575;2.3807;0.0175;48.4164;46.5405;United States;0.2931;0.5995;123
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ICLGroupLtd;2.6289;5.13;3.76;0.4615;59.5;1.5842;0.0182;4.5724;3.7559;Israel;0.0315;0.5522;11000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#RadianGroupInc;9.312000000000001;25.1663;7.84;0.2646;9.9265;0.9349;0.0247;19.6212;16.6958;United States;0.4015;1.5759;2000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#CorEnergyInfrastructureTrust,Inc;3.8446;45.8016;1.97;30.0;96.7447;3.3312;0.0289;6.7418;7.4588;United States;0.385;1.3417;18
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#TangerFactoryOutletCenters,Inc;3.8538;15.7426;16.32;0.4371;6.6452;2.9215;0.23399999999999999;10.0444;7.3539;United States;0.2361;2.0131;285
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#CommunityHealthcareTrustIncorporated;19.5077;50.8907;1.64;0.851;68.7737;2.6884;0.036000000000000004;46.6153;46.2475;United States;0.3675;0.4325;25
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AtmosEnergyCorporation;76.5395;118.3613;5.29;0.4958;20.2597;1.8365;0.0252;97.1829;98.9551;United States;0.29100000000000004;0.2966;4694
